Age;Job;Marital;Education;Default;Balance;HHInsurance;CarLoan;Communication;LastContactDay;NoOfContacts;DaysPassed;PrevAttempts;Outcome;CarInsurance;ConnectionTime;DayPeriod;LastContactMonthNum
29;4;2;3;0;637;1;0;0;3;1;119;1;0;1;340.0;2;6
32;9;2;3;0;1625;0;0;0;22;1;109;1;0;1;796.0;2;5
61;4;2;3;0;2;0;0;0;12;1;114;3;0;1;131.0;2;8
49;1;1;2;0;2039;1;0;0;6;1;169;2;0;1;451.0;2;5
80;5;1;2;0;8304;0;0;1;8;3;91;13;1;1;606.0;2;9
63;5;1;2;0;2896;0;0;0;1;1;119;2;1;1;304.0;2;7
54;9;1;2;0;0;0;0;1;30;3;84;3;1;1;766.0;1;4
32;0;2;2;0;6981;1;0;0;2;1;194;3;0;0;154.0;1;6
40;0;1;2;0;2574;1;0;0;15;1;176;1;0;1;432.0;1;5
31;0;1;2;0;457;1;0;0;21;1;171;5;0;0;283.0;2;11
46;2;0;2;0;1187;0;1;0;13;1;327;1;0;0;92.0;2;10
55;9;0;2;0;3450;0;0;0;10;1;183;1;0;1;169.0;2;2
34;4;2;3;0;11350;1;0;0;15;1;176;1;0;0;153.0;2;5
19;8;2;1;0;103;0;0;0;18;2;95;4;0;0;177.0;2;1
31;4;1;3;0;1331;0;0;0;30;1;86;3;1;1;297.0;1;4
62;5;1;2;0;569;0;0;0;4;5;184;1;1;1;94.0;2;2
33;4;1;3;0;1514;0;0;0;10;1;728;2;0;1;447.0;2;8
57;1;1;1;0;3109;0;0;0;15;2;105;2;1;1;107.0;2;9
37;9;0;3;0;1762;1;0;0;16;1;317;1;0;0;309.0;2;4
33;1;2;1;0;60;1;0;0;14;1;290;2;0;0;74.0;2;5
52;9;1;3;0;0;0;0;0;9;3;94;4;1;0;145.0;2;8
36;9;2;3;0;391;1;0;0;15;1;350;8;0;0;185.0;1;5
57;4;0;3;0;854;0;0;0;27;4;92;1;0;1;700.0;1;8
62;5;1;2;0;569;0;0;0;4;1;1;8;1;1;288.0;2;8
61;6;0;3;0;52587;0;0;0;15;3;189;1;1;1;394.0;2;2
54;7;0;2;0;0;0;0;0;18;1;290;3;1;1;362.0;1;3
29;6;2;3;0;1579;0;0;0;13;1;92;5;1;1;190.0;1;10
50;9;0;2;0;0;0;0;0;29;1;120;2;0;1;159.0;1;9
45;0;1;2;0;205;0;0;0;4;1;90;2;1;1;552.0;2;5
30;4;2;3;0;985;1;0;0;25;1;94;2;1;1;304.0;2;10
41;8;2;2;0;595;1;0;0;18;1;107;2;1;0;22.0;2;9
43;4;1;3;0;3186;0;0;0;16;1;88;1;0;1;380.0;2;11
31;1;1;1;0;290;1;0;0;15;1;291;3;0;0;148.0;2;5
41;1;1;1;0;3658;1;0;0;9;1;330;1;0;0;268.0;2;4
46;4;1;3;0;699;0;0;0;30;1;87;1;0;1;970.0;2;4
51;0;1;2;0;423;1;1;0;16;5;183;2;0;0;84.0;1;7
55;9;0;3;0;0;0;0;0;17;2;91;1;1;1;134.0;1;11
34;7;1;2;0;790;1;0;0;20;2;350;1;0;0;579.0;2;4
32;4;2;3;0;623;0;0;0;6;3;194;2;0;1;335.0;1;7
45;4;1;3;0;160;0;0;0;10;2;194;1;1;1;182.0;1;11
55;5;0;3;0;0;0;0;0;18;1;370;1;1;1;616.0;2;5
26;8;2;3;0;641;1;0;0;15;1;368;1;0;0;55.0;2;5
33;9;1;2;0;218;1;1;0;10;1;161;4;0;0;162.0;2;8
43;9;2;2;0;11115;0;0;0;23;1;74;2;1;1;476.0;2;10
41;4;2;2;0;942;0;0;0;27;1;188;1;1;1;143.0;2;10
48;1;1;2;0;1730;1;0;0;4;1;178;2;0;1;489.0;2;2
46;9;1;2;0;6993;1;0;0;17;3;148;1;1;0;326.0;1;4
61;1;1;1;0;5;0;0;0;6;2;94;3;1;1;562.0;2;8
48;10;0;2;0;201;0;0;0;10;2;92;2;1;1;406.0;2;2
60;5;0;2;0;514;0;0;0;15;2;213;10;1;1;187.0;1;10
31;8;2;3;0;4951;0;0;0;17;3;81;3;0;1;285.0;2;9
47;7;1;2;0;1160;1;0;0;3;2;221;4;0;0;117.0;1;2
25;6;2;3;0;42;1;0;0;5;1;94;1;1;1;149.0;2;6
23;7;2;2;0;279;1;0;0;18;1;370;1;0;1;843.0;2;5
30;4;2;3;0;2344;1;0;0;20;2;92;3;0;0;316.0;2;10
30;8;2;2;0;1779;0;0;0;11;1;433;1;1;1;233.0;2;8
32;4;2;3;0;933;1;0;0;12;4;307;1;0;0;147.0;2;5
42;1;1;2;0;3;1;0;1;20;1;190;1;0;0;47.0;2;11
38;9;2;2;0;1255;1;0;0;6;1;170;4;0;0;120.0;2;5
33;7;1;2;0;386;0;0;0;12;1;92;4;0;1;253.0;2;11
47;1;1;2;0;1568;1;0;0;19;1;262;7;1;1;388.0;1;2
31;9;2;3;0;438;1;0;0;20;1;100;2;0;0;165.0;2;11
27;1;2;2;0;535;0;0;0;16;3;95;4;1;1;265.0;2;8
53;4;1;2;0;2240;1;0;0;2;2;385;1;1;1;282.0;2;6
32;4;1;2;0;625;1;0;0;2;1;56;2;0;0;352.0;2;6
41;0;0;2;0;4;1;0;0;5;1;211;1;0;0;232.0;1;2
23;8;2;2;0;480;0;0;0;9;2;182;1;0;1;742.0;2;2
64;5;1;2;0;4787;0;0;0;28;1;182;1;1;1;392.0;2;4
35;3;1;3;0;1265;1;0;0;15;5;179;4;0;1;326.0;2;5
33;0;1;2;0;1737;0;0;0;14;2;106;2;0;0;228.0;2;8
51;1;0;1;0;-19;1;0;0;13;1;296;11;0;1;829.0;2;5
77;5;1;1;0;992;0;0;0;27;2;182;2;0;0;147.0;2;4
45;7;0;2;0;608;1;1;0;7;3;323;30;0;1;1135.0;2;5
33;7;1;2;0;387;1;0;0;7;2;138;2;0;0;327.0;2;4
35;4;2;3;0;62;1;0;0;5;4;15;3;1;0;214.0;1;5
33;1;2;3;0;129;1;1;0;30;1;161;1;0;1;482.0;2;4
32;0;2;2;0;678;1;0;0;4;1;246;4;0;1;1579.0;2;2
26;9;2;2;0;1231;1;0;0;4;1;93;7;1;1;230.0;2;9
29;3;2;3;0;19;0;0;0;3;1;230;1;1;1;274.0;2;12
33;0;2;3;0;272;1;0;0;1;2;92;3;1;1;293.0;1;9
32;7;1;2;0;983;1;0;0;20;2;133;1;0;1;500.0;2;11
34;9;1;2;0;1072;0;1;0;5;1;252;2;0;0;136.0;2;2
48;9;1;2;0;1981;1;0;0;16;3;238;2;1;0;291.0;1;3
40;1;1;1;0;830;1;0;0;13;3;370;2;0;1;873.0;2;5
33;4;2;3;0;718;1;0;0;6;1;98;2;1;1;122.0;1;4
42;1;1;2;0;2913;0;0;0;3;1;195;1;0;1;705.0;2;6
